aphiaid,species,ecoregion,taxon
137129,Alle alle,Arctic Ocean,Birds
137086,Balaena mysticetus,Arctic Ocean,Mammals
137087,Balaenoptera acutorostrata,Arctic Ocean,Mammals
137090,Balaenoptera musculus,Arctic Ocean,Mammals
137091,Balaenoptera physalus,Arctic Ocean,Mammals
137130,Cepphus grylle,Arctic Ocean,Birds
137071,Clangula hyemalis,Arctic Ocean,Birds
137078,Cystophora cristata,Arctic Ocean,Mammals
137079,Erignathus barbatus,Arctic Ocean,Mammals
137195,Fulmarus glacialis,Arctic Ocean,Birds
137188,Gavia stellata,Arctic Ocean,Birds
137145,Larus hyperboreus,Arctic Ocean,Birds
137092,Megaptera novaeangliae,Arctic Ocean,Mammals
137116,Monodon monoceros,Arctic Ocean,Mammals
137077,Odobenus rosmarus,Arctic Ocean,Mammals
137102,Orcinus orca,Arctic Ocean,Mammals
137154,Pagophila eburnea,Arctic Ocean,Birds
159019,Pagophilus groenlandicus,Arctic Ocean,Mammals
137119,Physeter macrocephalus,Arctic Ocean,Mammals
159021,Pusa hispida,Arctic Ocean,Mammals
137155,Rhodostethia rosea,Arctic Ocean,Birds
137156,Rissa tridactyla,Arctic Ocean,Birds
137074,Somateria mollissima,Arctic Ocean,Birds
137075,Somateria spectabilis,Arctic Ocean,Birds
137171,Stercorarius longicaudus,Arctic Ocean,Birds
137172,Stercorarius parasiticus,Arctic Ocean,Birds
137173,Stercorarius pomarinus,Arctic Ocean,Birds
137174,Stercorarius skua,Arctic Ocean,Birds
137134,Uria lomvia,Arctic Ocean,Birds
137167,Xema sabini,Arctic Ocean,Birds
105835,Alopias superciliosus,Azores,Fish
105836,Alopias vulpinus,Azores,Fish
126757,Anarhichas denticulatus,Azores,Fish
126281,Anguilla anguilla,Azores,Fish
707542,Ardenna grisea,Azores,Birds
159164,Aythya fuligula,Azores,Birds
137087,Balaenoptera acutorostrata,Azores,Mammals
137088,Balaenoptera borealis,Azores,Mammals
242603,Balaenoptera brydei,Azores,Mammals
137090,Balaenoptera musculus,Azores,Mammals
137091,Balaenoptera physalus,Azores,Mammals
126394,Beryx decadactylus,Azores,Fish
126395,Beryx splendens,Azores,Fish
126958,Bodianus scrofa,Azores,Fish
1348497,Calonectris borealis,Azores,Birds
137194,Calonectris diomedea,Azores,Birds
105838,Carcharodon carcharias,Azores,Fish
137205,Caretta caretta,Azores,Turtles
105899,Centrophorus granulosus,Azores,Fish
105901,Centrophorus squamosus,Azores,Fish
105907,Centroscymnus coelolepis,Azores,Fish
299089,Centroscymnus owstonii,Azores,Fish
105837,Cetorhinus maximus,Azores,Fish
137206,Chelonia mydas,Azores,Turtles
105824,Chimaera monstrosa,Azores,Fish
712407,Chimaera opalescens,Azores,Fish
465358,Chroicocephalus ridibundus,Azores,Birds
105910,Dalatias licha,Azores,Fish
105851,Dasyatis pastinaca,Azores,Fish
298167,Deania calceus,Azores,Fish
105905,Deania profundorum,Azores,Fish
137094,Delphinus delphis,Azores,Mammals
137209,Dermochelys coriacea,Azores,Turtles
711846,Dipturus intermedius,Azores,Fish
105872,Dipturus oxyrinchus,Azores,Fish
126858,Epigonus telescopus,Azores,Fish
127036,Epinephelus marginatus,Azores,Fish
105912,Etmopterus pusillus,Azores,Fish
105913,Etmopterus spinax,Azores,Fish
159023,Eubalaena glacialis,Azores,Mammals
232054,Fulica atra,Azores,Birds
137195,Fulmarus glacialis,Azores,Birds
105820,Galeorhinus galeus,Azores,Fish
137187,Gavia immer,Azores,Birds
137096,Globicephala macrorhynchus,Azores,Mammals
137097,Globicephala melas,Azores,Mammals
137098,Grampus griseus,Azores,Mammals
105832,Heptranchias perlo,Azores,Fish
154776,Hippocampus guttulatus,Azores,Fish
127380,Hippocampus hippocampus,Azores,Fish
126402,Hoplostethus atlanticus,Azores,Fish
105825,Hydrolagus affinis,Azores,Fish
105826,Hydrolagus mirabilis,Azores,Fish
105827,Hydrolagus pallidus,Azores,Fish
343899,Hyperoodon ampullatus,Azores,Mammals
105839,Isurus oxyrinchus,Azores,Fish
105840,Isurus paucus,Azores,Fish
137113,Kogia breviceps,Azores,Mammals
105841,Lamna nasus,Azores,Fish
159074,Larus atricilla,Azores,Birds
148797,Larus delawarensis,Azores,Birds
137142,Larus fuscus,Azores,Birds
137144,Larus glaucoides,Azores,Birds
137145,Larus hyperboreus,Azores,Birds
137146,Larus marinus,Azores,Birds
232052,Larus michahellis,Azores,Birds
105874,Leucoraja fullonica,Azores,Fish
126472,Macrourus berglax,Azores,Fish
126950,Makaira nigricans,Azores,Fish
137092,Megaptera novaeangliae,Azores,Mammals
137073,Melanitta nigra,Azores,Birds
137121,Mesoplodon bidens,Azores,Mammals
137122,Mesoplodon densirostris,Azores,Mammals
137123,Mesoplodon europaeus,Azores,Mammals
137126,Mesoplodon mirus,Azores,Mammals
105858,Mobula mobular,Azores,Fish
127405,Mola mola,Azores,Fish
148776,Morus bassanus,Azores,Birds
127038,Mycteroperca fusca,Azores,Fish
105860,Myliobatis aquila,Azores,Fish
105844,Odontaspis ferox,Azores,Fish
137102,Orcinus orca,Azores,Mammals
105915,Oxynotus paradoxus,Azores,Fish
127059,Pagellus bogaraveo,Azores,Fish
